^2 = GameID: SLUS_212.01
^3 = NAME: Tales of Legendia
!Masters:
+Enable Code (MUST BE ON)
$90117A50 0C045E3C
+Enable Code (MUST BE ON)
$9012E9E8 0C0423D4
!!
!Jokers:
+Player 1 Controller
$D04969DC 0000[Joker:PS2]
!!
+Play Time 0
$201F9744 704020E8
+Inf Climax (hold L3 For 0)
$20359B60 AC620024
$D04969DC 0000FFFD
$20359B60 AC600024
+Gain Climax For Max
$202E3718 46020828
+Start Battle With Max Climax
$2033697C 4600A006
+Costumes Mod (battle)
$2028AE84 00000000
$2028AE90 2402[CS]
+Encounters 9999 After Battle
$20289A00 706210C8
+Speed(on = Start + Up, Off= Start + Down)
$D04969DC 0000FFE7
$201135D4 10000003
$D04969DC 0000FFB7
$201135D4 14400010
+Item Infinite
$20288E10 A0C50388
$20286824 24450000
+Instant Battle Press L2
$202D46A4 00000000
$D04969DC 0000FEFF
$202D46A4 10000002
+Climax Gauge Max (l1)
$2035C904 3C013F80
$2035C908 10000038
$2035C90C 00000000
$D04969DC 0000FBFF
$2035C90C AC810024
+All Technique & Skill Max
$202916F8 241900FF
$202916FC A0790588
$20291704 0040180A
$20291888 241900FF
$2029188C A0790588
$20291890 0040180A
+Max Lvl And Stats
$2028F1DC 24020000
+EXP Multiplier
$202898C4 00040[Mul]
$202898C8 00602821
+Max Skills (points)
$2029200C 704210E8
+1 Hit To Kill ( L3 On R3 Off )
$D04969DC 0000FFFD
$202A31E8 70A510E8
$D04969DC 0000FFFB
$202A31E8 70A210E8
Gold Max (shop)
$202F3124 10000005
^6 = MODS:
[CS]
VALUE>NAME
0000	Default Clothing 
D4	Slapping Girl (ATK +1)
D5	Mean Girl (TP +5)
D6	Hope Girl (ACC +1)
D7	Poster Girl (TP +15, INT +4)
D8	Agent Of Nerifes (TP +20)
D9	Child Of The Sea (HP +40)
DA	Dignified Memories (HP +50, TP +25)
DB	Combo Newbie (ATK +3)
DC	Comboist (HP +40)
DD	Combo Expert (TP +25)
DE	Combo Master (HP +50, TP +25)
DF	Item Keeper (EVA +3)
E0	Prim And Proper (DEF +4)
E1	Destroy Them (INT +4)
E2	Brave Girl (TP +15, LCK +3)
E3	Wizard (TP +15, INT +5)
E4	Crimson Rose (INT +3, EVA +3)
E5	Lone Girl (TP +15, EVA +3)
E6	One Shot Kill (ATK +3, INT +3)
E7	Crystal Master (TP +25, INT +5)
E8	Angry Merines (TP +25, DEF +5, INT +5)
[TD]
[ITE]
VALUE>NAME>TYPE
00	None/Crash	
01	Iron Bracers	Senel Coolidge
02	Power Bracers	Senel Coolidge
03	Poison Bracers	Senel Coolidge
04	Fire Bolt	Senel Coolidge
05	Scallop Gear	Senel Coolidge
06	Heavy Hands	Senel Coolidge
07	Holy Bracers	Senel Coolidge
08	Hunter's Beat	Senel Coolidge
09	Mythril Bracers	Senel Coolidge
0A	Homing Beats	Senel Coolidge
0B	Dynamic Arts	Senel Coolidge
0C	Lei	Senel Coolidge
0D	Bi-metal	Senel Coolidge
0E	Ghost Shell	Senel Coolidge
0F	Aqua Shell	Senel Coolidge
10	Speed Bracers	Senel Coolidge
11	Diamond Shell	Senel Coolidge
12	High Speed Bracers	Senel Coolidge
13	Breaker	Senel Coolidge
14	Kaiser Gears	Senel Coolidge
15	Heaven's Claw	Senel Coolidge
16	Long Sword	Chloe Valens
17	Gladius	Chloe Valens
18	Broad Sword	Chloe Valens
19	Poison Sword	Chloe Valens
1A	Claymore	Chloe Valens
1B	Silver Sword	Chloe Valens
1C	Ether Sword	Chloe Valens
1D	Dragon Tooth	Chloe Valens
1E	Excalibur	Chloe Valens
1F	Mini-Gelures Sword	Chloe Valens
20	Baseball Bat	Chloe Valens
21	Grim Sword	Chloe Valens
22	Angel's Tear	Chloe Valens
23	Last Fencer	Chloe Valens
24	Flamberge	Chloe Valens
25	Ice Coffin	Chloe Valens
26	Laser Blade	Chloe Valens
27	Megant Killer	Chloe Valens
28	Paper Fan	Chloe Valens
29	Destroyer	Chloe Valens
2A	Eternal Sword	Chloe Valens
2B	Spear	Moses Sandor
2C	War Javelin	Moses Sandor
2D	Silver Javelin	Moses Sandor
2E	Holy Javelin	Moses Sandor
2F	Mythril Spear	Moses Sandor
30	Longinus	Moses Sandor
31	Gae Bolg	Moses Sandor
32	Thunder Javelin	Moses Sandor
33	Peepit Spear	Moses Sandor
34	Earth Javelin	Moses Sandor
35	Gungnir	Moses Sandor
36	Knife	Jay
37	Kochi	Jay
38	Chizakura	Jay
39	Gyoten	Jay
3A	Ogre Sword	Jay
3B	Fuji	Jay
3C	Shiden	Jay
3D	Shinonome	Jay
3E	Kageboshi	Jay
3F	Kusanagi Blade	Jay
40	Hotate	Jay
41	Hammer	Will Raynard
42	War Hammer	Will Raynard
43	Oresoren Hammer	Will Raynard
44	Pile Driver	Will Raynard
45	Mythril Hammer	Will Raynard
46	765kg Hammer	Will Raynard
47	Express	Will Raynard
48	Pow Hammer	Will Raynard
49	Deck Brush	Will Raynard
4A	Mjolnir	Will Raynard
4B	Straw	Norma Beatty
4C	Love Straw	Norma Beatty
4D	Silver Straw	Norma Beatty
4E	Peepit Straw	Norma Beatty
4F	Strike Straw	Norma Beatty
50	Mythril Straw	Norma Beatty
51	Love Love Straw	Norma Beatty
52	Marbled Straw	Norma Beatty
53	Scope Straw	Norma Beatty
54	Gold Straw	Norma Beatty
55	Pterux	Grune
56	Dory	Grune
57	Bomba	Grune
58	Spyra	Grune
59	Diktyon	Grune
5A	Temnein	Grune
5B	Quill	Shirley Fennes
5C	Chalk	Shirley Fennes
5D	Brush	Shirley Fennes
5E	High Grade Pen	Shirley Fennes
5F	Angelic Quill	Shirley Fennes
60	Soft Leather	Armor
61	Hard Leather	Armor
62	Chain Mail	Armor
63	Ring Mail	Armor
64	Lamellar Leather	Armor
65	Turtle Mail	Armor
66	Gaet Armor	Armor
67	Silver Mail	Armor
68	Dragon Mail	Armor
69	Mythril Armor	Armor
6A	Run Mail	Armor
6B	Prereflex	Armor
6C	Rare Plate	Armor
6D	Emp. New Clothes	Armor
6E	Reflex	Armor
6F	Star Mail	Armor
70	Body Paint	Armor
71	Golden Armor	Armor
72	Mumbane	Armor
73	Cloak	Cloaks
74	Amber Cloak	Cloaks
75	Peepit Cloak	Cloaks
76	Galf Cloak	Cloaks
77	Bunny Dress	Cloaks
78	Cocktail Dress	Cloaks
79	Witch's Dress	Cloaks
7A	Holy Cloak	Cloaks
7B	Middy Blouse	Cloaks
7C	Warlock Garb	Cloaks
7D	Happi	Cloaks
7E	Star Cloak	Cloaks
7F	Heavenly Garb	Cloaks
80	Shaman Dress	Cloaks
81	Aurora	Cloaks
82	Robe	Robes
83	Misty Robe	Robes
84	Bloody Robe	Robes
85	Battle Robe	Robes
86	Scale Robe	Robes
87	Silk Robe	Robes
88	Holy Robe	Robes
89	Rune Robe	Robes
8A	Bear Suit	Robes
8B	Spirit Robe	Robes
8C	Moon Robe	Robes
8D	Stole	Robes
8E	Amelia's Love	Robes
8F	Capoeiracco Robe	Robes
90	Leather Helm	Helmets
91	Iron Helm	Helmets
92	Armet Helm	Helmets
93	Cross Helm	Helmets
94	Duel Helm	Helmets
95	Mythril Helm	Helmets
96	Rare Helm	Helmets
97	Star Helm	Helmets
98	Golden Helm	Helmets
99	Skeleton Mask	Helmets
9A	Beret	Hats
9B	Straw Hat	Hats
9C	Night Cap	Hats
9D	Bunny Ears	Hats
9E	Witch's Hat	Hats
9F	Rune Beret	Hats
A0	Silk Hat	Hats
A1	Eryngi Hat	Hats
A2	Headband	Hats
A3	Aifread's Hat	Hats
A4	Kitty Cap	Hats
A5	Bear Head	Hats
A6	Ninja Mask	Hats
A7	Graduation Hat	Hats
A8	Baker's Hat	Hats
A9	Circlet	Circlets
AA	Pompom Hair Tie	Circlets
AB	Mythril Circlet	Circlets
AC	Ribbon	Circlets
AD	Holy Circlet	Circlets
AE	Blue Ribbon	Circlets
AF	Striped Ribbon	Circlets
B0	Pretty Ribbon	Circlets
B1	Star Circlet	Circlets
B2	Magical Ribbon	Circlets
B3	Angel Halo	Circlets
B4	Purple Hood	Circlets
B5	Talisman	Talismans
B6	Heal Bracelet	Talismans
B7	Spirit Bangle	Talismans
B8	Blue Talisman	Talismans
B9	Stun Bracelet	Talismans
BA	Stun Charm	Talismans
BB	Poison Charm	Talismans
BC	Paralysis Charm	Talismans
BD	Fire Charm	Talismans
BE	Freeze Charm	Talismans
BF	Stone Charm	Talismans
C0	Restraint Charm	Talismans
C1	Seal Charm	Talismans
C2	Panic Charm	Talismans
C3	Doom Charm	Talismans
C4	FOE1 Charm	Talismans
C5	FOE2 Charm	Talismans
C6	FOE3 Charm	Talismans
C7	Emerald Ring	Rings
C8	Faerie Ring	Rings
C9	Protect Ring	Rings
CA	Force Ring	Rings
CB	Resist Ring	Rings
CC	Reflect Ring	Rings
CD	Holy Ring	Rings
CE	Spirit Ring	Rings
CF	Revive Ring	Rings
D0	Technical Ring	Rings
D1	Warrior Crest	Charms
D2	Rabbit's Foot	Charms
D3	Holy Symbol	Charms
D4	Spirit Symbol	Charms
D5	Dark Seal	Charms
D6	Demon's Seal	Charms
D7	Extreme Symbol	Charms
D8	Mystic Symbol	Charms
D9	Krona Symbol	Charms
DA	Attack Symbol	Charms
DB	Cape	Capes
DC	Leather Cape	Capes
DD	Thief's Cape	Capes
DE	Elven Cape	Capes
DF	Flare Cape	Capes
E0	Freeze Cape	Capes
E1	Thunder Cape	Capes
E2	Earth Cape	Capes
E3	Aqua Cape	Capes
E4	Rune Cape	Capes
E5	Leather Boots	Boots
E6	Elven Boots	Boots
E7	Jet Boots	Boots
E8	Persian Boots	Boots
E9	Rebirth Doll	Dolls
EA	Sephira	Dolls
EB	Blue Sephira	Dolls
EC	Black Onyx	Crystals
ED	Moon Crystal	Crystals
EE	Magic Mist	Crystals
EF	Turquoise	Crystals
F0	Apple Gel	Items?
F1	Orange Gel	Items?
F2	Lemon Gel	Items?
F3	Pineapple Gel	Items?
F4	Melange Gel	Items?
F5	Scallop Gel	Items?
F6	Miracle Gel	Items?
F7	Life Bottle	Items?
F8	Panacea Bottle	Items?
F9	Elixir	Items?
FA	Flare Bottle	Items?
FB	Syrup Bottle	Items?
FC	Shell Bottle	Items?
FD	Dinei Bottle	Items?
FE	Acuity Bottle	Items?
FF	Guard Bottle	Items?
100	Climax Bottle	Items?
[/ITE]
