^1 = HASH: EA79D106
^3 = NAME: Barbie Horse Adventures
^2 = GameID: SLUS_218.06
!Masters:
+Enable Code (Must Be On)
%Credits: Code Master>tab
$F0100008 002FB60F
%Credits: Code Master>tab
$20380198 00000001
+Top 21
%Credits: Code Master>tab
$2038019C 00000001
+All Tops
%Credits: Code Master>tab
$4038014C 00150001
$00000001 00000000
!!
!Unlock Jacket Codes:
+Jacket 1
%Credits: Code Master>tab
$203801A0 00000001
+Jacket 2
%Credits: Code Master>tab
$203801A4 00000001
+Jacket 3
%Credits: Code Master>tab
$203801A8 00000001
+Jacket 4
%Credits: Code Master>tab
$203801AC 00000001
+Jacket 5
%Credits: Code Master>tab
$203801B0 00000001
+Jacket 6
%Credits: Code Master>tab
$203801B4 00000001
+Jacket 7
%Credits: Code Master>tab
$203801B8 00000001
+Jacket 8
%Credits: Code Master>tab
$203801BC 00000001
+Jacket 9
%Credits: Code Master>tab
$203801C0 00000001
+Jacket 10
%Credits: Code Master>tab
$203801C4 00000001
+Jacket 11
%Credits: Code Master>tab
$203801C8 00000001
+All Jackets
%Credits: Code Master>tab
$403801A0 000B0001
$00000001 00000000
!!
!Unlock Pants Codes:
+Pants 1
%Credits: Code Master>tab
$203801CC 00000001
+Pants 2
%Credits: Code Master>tab
$203801D0 00000001
+Pants 3
%Credits: Code Master>tab
$203801D4 00000001
+Pants 4
%Credits: Code Master>tab
$203801D8 00000001
+Pants 5
%Credits: Code Master>tab
$203801DC 00000001
+Pants 6
%Credits: Code Master>tab
$203801E0 00000001
+Pants 7
%Credits: Code Master>tab
$203801E4 00000001
+Pants 8
%Credits: Code Master>tab
$203801E8 00000001
+Pants 9
%Credits: Code Master>tab
$203801EC 00000001
+Pants 10
%Credits: Code Master>tab
$203801F0 00000001
+Pants 11
%Credits: Code Master>tab
$203801F4 00000001
+Pants 12
%Credits: Code Master>tab
$203801F8 00000001
+All Pants
%Credits: Code Master>tab
$403801CC 000C0001
$00000001 00000000
!!
!Unlock Boots Codes:
+Boots 1
%Credits: Code Master>tab
$203801FC 00000001
+Boots 2
%Credits: Code Master>tab
$20380200 00000001
+Boots 3
%Credits: Code Master>tab
$20380204 00000001
+Boots 4
%Credits: Code Master>tab
$20380208 00000001
+Boots 5
%Credits: Code Master>tab
$2038020C 00000001
+Boots 6
%Credits: Code Master>tab
$20380210 00000001
+Boots 7
%Credits: Code Master>tab
$20380214 00000001
+Boots 8
%Credits: Code Master>tab
$20380218 00000001
+Boots 9
%Credits: Code Master>tab
$2038021C 00000001
+Boots 10
%Credits: Code Master>tab
$20380220 00000001
+Boots 11
%Credits: Code Master>tab
$20380224 00000001
+Boots 12
%Credits: Code Master>tab
$20380228 00000001
+Boots 13
%Credits: Code Master>tab
$2038022C 00000001
+Boots 14
%Credits: Code Master>tab
$20380230 00000001
+Boots 15
%Credits: Code Master>tab
$20380234 00000001
+Boots 16
%Credits: Code Master>tab
$20380238 00000001
+All Boots
%Credits: Code Master>tab
$403801FC 00100001
$00000001 00000000
!!
!Unlock Trail Codes:
+Main Gate
%Credits: Code Master>tab
$203803A4 00000001
+Forest Trail 1
%Credits: Code Master>tab
$203803A8 00000001
+Forest Trail 2
%Credits: Code Master>tab
$203803AC 00000001
+Forest Trail 3
%Credits: Code Master>tab
$203803B0 00000001
+Snowy Mountains Trail 1
%Credits: Code Master>tab
$203803B4 00000001
+Snowy Mountains Trail 2
%Credits: Code Master>tab
$203803B8 00000001
+Snowy Mountains Trail 3
%Credits: Code Master>tab
$203803BC 00000001
+Shoreline Trail 1
%Credits: Code Master>tab
$203803C0 00000001
+Shoreline Trail 2
%Credits: Code Master>tab
$203803C4 00000001
+Shoreline Trail 3
%Credits: Code Master>tab
$203803C8 00000001
+Last Gate
%Credits: Code Master>tab
$203803CC 00000001
!!
!Max Coins Codes:
+Silver Valley Stables
%Credits: Code Master>tab
$20380254 00000032
+Forest Trail 1
%Credits: Code Master>tab
$20380258 000000C8
+Forest Trail 2
%Credits: Code Master>tab
$2038025C 000000C8
+Forest Trail 3
%Credits: Code Master>tab
$20380260 000000C8
+Snow Mountains Trail 1
%Credits: Code Master>tab
$20380264 000000C8
+Snow Mountains Trail 2
%Credits: Code Master>tab
$20380268 000000C8
+Snow Mountains Trail 3
%Credits: Code Master>tab
$2038026C 000000C8
+Shoreline Trail 1
%Credits: Code Master>tab
$20380270 000000C8
+Shoreline Trail 2
%Credits: Code Master>tab
$20380274 000000C8
+Shoreline Trail 3
%Credits: Code Master>tab
$20380278 000000C8
!!
