^3 = NAME: Moto GP 4 (Ntsc-U)
^2 = GameID: SLUS-21159
!Master Codes:
+(M)
%Credits: Codejunkies
$F010044C 0010044F
$200C022C ADE50174
$201FCDC8 0C030088
!!
!Unlock Bikes & Riders Codes:
+Alex Barros
%Credits: Code Master
$005C7BD2 00000002
+Alex Barros
%Credits: Code Master
$005C7C0A 00000002
+Alex De Angelis
%Credits: Code Master
$005C7BA4 00000002
+Alex Debon
%Credits: Code Master
$005C7BA6 00000002
+Alex Hofmann
%Credits: Code Master
$005C7BE4 00000002
+All Bikes & Riders
%Credits: Code Master
$105C7B5E 00000002
$405C7B60 002B0001
$00020002 00000000
$105C7C0C 00000002
+Alvaro Bautista
%Credits: Code Master
$005C7B70 00000002
+Andrea Dovizioso
%Credits: Code Master
$005C7B5E 00000002
+Angel Rodriguez
%Credits: Code Master
$005C7B7C 00000002
+Anthony West
%Credits: Code Master
$005C7BAA 00000002
+Arnaud Vincent
%Credits: Code Master
$005C7BB6 00000002
+BMW 654Ci Safetycar
%Credits: Code Master
$005C7C04 00000002
+Carlos Checa
%Credits: Code Master
$005C7BD0 00000002
+Casey Stoner
%Credits: Code Master
$005C7B66 00000002
+Chaz Davies
%Credits: Code Master
$005C7BC2 00000002
+Chris Burns
%Credits: Code Master
$005C7BE8 00000002
+Colin Edwards
%Credits: Code Master
$005C7BC8 00000002
+Daijiro Kato 1
%Credits: Code Master
$005C7BFE 00000002
+Daijiro Kato 2
%Credits: Code Master
$005C7C00 00000002
+Daijiro Kato 3
%Credits: Code Master
$005C7C02 00000002
+Daniel Pedrosa
%Credits: Code Master
$005C7B98 00000002
+Dario Guiseppetti
%Credits: Code Master
$005C7B7E 00000002
+Dirk Heidolf
%Credits: Code Master
$005C7BC0 00000002
+Eric Bataille
%Credits: Code Master
$005C7BA8 00000002
+Erwan Nigon
%Credits: Code Master
$005C7BBC 00000002
+Fabrizio Lai
%Credits: Code Master
$005C7B8A 00000002
+Fonsi Nieto
%Credits: Code Master
$005C7B9C 00000002
+Franco Battaini
%Credits: Code Master
$005C7BAE 00000002
+Gabor Talmacsi
%Credits: Code Master
$005C7B92 00000002
+Gregory Leford
%Credits: Code Master
$005C7BB8 00000002
+Hector Barbera
%Credits: Code Master
$005C7B6E 00000002
+Hector Faubel
%Credits: Code Master
$C0121F45 9EBFEDDF
+Hiroshi Aoyama
%Credits: Code Master
$005C7B9A 00000002
+Hugo Marchand
%Credits: Code Master
$005C7BAC 00000002
+Imre Toth
%Credits: Code Master
$005C7B82 00000002
+Jeremy Mcwilliams
%Credits: Code Master
$005C7BEA 00000002
+Joan Olive
%Credits: Code Master
$005C7BB0 00000002
+Johan Stiegefelt
%Credits: Code Master
$005C7BC4 00000002
+John Hopkins
%Credits: Code Master
$005C7BE0 00000002
+Jordi Carchano
%Credits: Code Master
$005C7B78 00000002
+Jorge Lorenzo
%Credits: Code Master
$005C7B7A 00000002
+Julian Simon
%Credits: Code Master
$005C7B86 00000002
+Kenny Roberts
%Credits: Code Master
$005C7BDE 00000002
+Kevin Schwantz
%Credits: Code Master
$005C7BF6 00000002
+Kurtis Roberts
%Credits: Code Master
$005C7BEE 00000002
+Loris Capirossi
%Credits: Code Master
$005C7BD6 00000002
+Lukas Pesek
%Credits: Code Master
$005C7B8E 00000002
+Makoto Tamada
%Credits: Code Master
$005C7BCC 00000002
+Manuel Manna
%Credits: Code Master
$005C7B94 00000002
+Manuel Poggiali
%Credits: Code Master
$005C7BB4 00000002
+Marco Melandri
%Credits: Code Master
$005C7BDA 00000002
+Marco Simoncelli
%Credits: Code Master
$005C7B6C 00000002
+Mattia Angeloni
%Credits: Code Master
$005C7B88 00000002
+Mattia Pasin
%Credits: Code Master
$005C7B64 00000002
+Max Biaggi
%Credits: Code Master
$005C7BCA 00000002
+Max Biaggi
%Credits: Code Master
$005C7C08 00000002
+Michelle Fabrizio
%Credits: Code Master
$005C7BE6 00000002
+Mick Doohan
%Credits: Code Master
$005C7BFA 00000002
+Mike Kallio
%Credits: Code Master
$005C7B68 00000002
+Mirko Giansanti
%Credits: Code Master
$005C7B76 00000002
+Nacki Matsudo
%Credits: Code Master
$005C7BBA 00000002
+Neil Hodgson
%Credits: Code Master
$005C7BF4 00000002
+Nicky Hayden
%Credits: Code Master
$005C7BD4 00000002
+Nicky Hayden
%Credits: Code Master
$005C7C0C 00000002
+Nobuatsu Acki
%Credits: Code Master
$005C7BF0 00000002
+Norick Abe
%Credits: Code Master
$005C7BDC 00000002
+Pablo Nieto
%Credits: Code Master
$005C7B72 00000002
+Randy De Puniet
%Credits: Code Master
$005C7B96 00000002
+Robbin Harms
%Credits: Code Master
$005C7B90 00000002
+Roberto Locatelli
%Credits: Code Master
$005C7B62 00000002
+Roberto Rolfo
%Credits: Code Master
$005C7BA0 00000002
+Roni Elias
%Credits: Code Master
$005C7BA2 00000002
+Ruben Xaus
%Credits: Code Master
$005C7BF2 00000002
+Sebastian Porto
%Credits: Code Master
$005C7B9E 00000002
+Sergio Gadea
%Credits: Code Master
$005C7B74 00000002
+Sete Gibernau
%Credits: Code Master
$005C7BC6 00000002
+Shane Byrne
%Credits: Code Master
$005C7BEC 00000002
+Shinya Nakano
%Credits: Code Master
$005C7BE2 00000002
+Simone Corsi
%Credits: Code Master
$005C7B60 00000002
+Stefano Perugini
%Credits: Code Master
$005C7B8C 00000002
+Steve Jenkner
%Credits: Code Master
$005C7B6A 00000002
+Sylvain Guintoli
%Credits: Code Master
$005C7BB2 00000002
+Thomas Luthi
%Credits: Code Master
$005C7B80 00000002
+Troy Bayliss
%Credits: Code Master
$005C7BD8 00000002
+Valentino Rossi
%Credits: Code Master
$005C7BCE 00000002
+Vesa Kallio
%Credits: Code Master
$005C7B84 00000002
+Wayne Gardner
%Credits: Code Master
$005C7BFC 00000002
+Wayne Rainey
%Credits: Code Master
$005C7BF8 00000002
+Youichi Ui
%Credits: Code Master
$005C7C06 00000002
!!
!Unlock Circuits Codes:
+All Circuits
%Credits: Code Master
$405C7B50 00030001
$00020002 00000000
$005C7B5C 00000002
+Close Fight
%Credits: Code Master
$005C7B56 00000002
+Entry Pass (250Cc)
%Credits: Code Master
$005C7B5A 00000002
+Entry Pass (Moto GP)
%Credits: Code Master
$005C7B5C 00000002
+Legends
%Credits: Code Master
$005C7B58 00000002
+Paul Richard ('98)
%Credits: Code Master
$005C7B52 00000002
+Suzuak ('02'
%Credits: Code Master
$005C7B50 00000002
+Training
%Credits: Code Master
$005C7B54 00000002
!!
!Unlock Other Items Codes:
+All Other Items
%Credits: Code Master
$105C7C0E 00000002
$405C7C10 00000001
$00020002 00000000
$105C7D24 00000002
+Ending (125Cc)
%Credits: Code Master
$005C7C0E 00000002
+Ending (250Cc)
%Credits: Code Master
$005C7C10 00000002
+Ending (All 3 Classes)
%Credits: Code Master
$005C7C14 00000002
+Ending (Moto GP)
%Credits: Code Master
$005C7C12 00000002
+Extra Movie 1
%Credits: Code Master
$005C7C18 00000002
+Extra Movie 2
%Credits: Code Master
$005C7C1A 00000002
+Extra Movie 3
%Credits: Code Master
$005C7C1C 00000002
+Extra Movie 4
%Credits: Code Master
$005C7C1E 00000002
+Extra Movie 5
%Credits: Code Master
$005C7C20 00000002
+Extra Movie 6
%Credits: Code Master
$005C7C22 00000002
+Extra Movie 7
%Credits: Code Master
$005C7C24 00000002
+Extra Movie 8
%Credits: Code Master
$005C7C26 00000002
+Extra Movie 9
%Credits: Code Master
$005C7C28 00000002
+Extra Movie 10
%Credits: Code Master
$005C7C2A 00000002
+Opening (Moto GP 4)
%Credits: Code Master
$005C7C16 00000002
+Photo Set 1
%Credits: Code Master
$005C7C2C 00000002
+Photo Set 2
%Credits: Code Master
$005C7C2E 00000002
+Photo Set 3
%Credits: Code Master
$005C7C30 00000002
+Photo Set 4
%Credits: Code Master
$005C7C32 00000002
+Photo Set 5
%Credits: Code Master
$005C7C34 00000002
+Photo Set 6
%Credits: Code Master
$005C7C36 00000002
+Photo Set 7
%Credits: Code Master
$005C7C38 00000002
+Photo Set 8
%Credits: Code Master
$005C7C3A 00000002
+Photo Set 9
%Credits: Code Master
$005C7C3C 00000002
+Photo Set 10
%Credits: Code Master
$005C7C3E 00000002
+Photo Set 11
%Credits: Code Master
$005C7C40 00000002
+Photo Set 12
%Credits: Code Master
$005C7C42 00000002
+Photo Set 13
%Credits: Code Master
$005C7C44 00000002
+Photo Set 14
%Credits: Code Master
$005C7C46 00000002
+Photo Set 15
%Credits: Code Master
$005C7C48 00000002
+Photo Set 16
%Credits: Code Master
$005C7C4A 00000002
+Photo Set 17
%Credits: Code Master
$005C7C4C 00000002
+Photo Set 18
%Credits: Code Master
$005C7C4E 00000002
+Photo Set 19
%Credits: Code Master
$005C7C50 00000002
+Photo Set 20
%Credits: Code Master
$005C7C52 00000002
+Photo Set 21
%Credits: Code Master
$005C7C54 00000002
+Photo Set 22
%Credits: Code Master
$005C7C56 00000002
+Photo Set 23
%Credits: Code Master
$005C7C58 00000002
+Photo Set 24
%Credits: Code Master
$005C7C5A 00000002
+Photo Set 25
%Credits: Code Master
$005C7C5C 00000002
+Photo Set 26
%Credits: Code Master
$005C7C5E 00000002
+Photo Set 27
%Credits: Code Master
$005C7C60 00000002
+Photo Set 28
%Credits: Code Master
$005C7C62 00000002
+Photo Set 29
%Credits: Code Master
$005C7C64 00000002
+Photo Set 30
%Credits: Code Master
$005C7C66 00000002
+Photo Set 31
%Credits: Code Master
$005C7C68 00000002
+Photo Set 32
%Credits: Code Master
$005C7C6A 00000002
+Photo Set 33
%Credits: Code Master
$005C7C6C 00000002
+Photo Set 34
%Credits: Code Master
$005C7C6E 00000002
+Photo Set 35
%Credits: Code Master
$005C7C70 00000002
+Photo Set 36
%Credits: Code Master
$005C7C72 00000002
+Photo Set 37
%Credits: Code Master
$005C7C74 00000002
+Photo Set 38
%Credits: Code Master
$005C7C76 00000002
+Photo Set 39
%Credits: Code Master
$005C7C78 00000002
+Photo Set 40
%Credits: Code Master
$005C7C7A 00000002
+Photo Set 41
%Credits: Code Master
$005C7C7C 00000002
+Photo Set 42
%Credits: Code Master
$005C7C7E 00000002
+Photo Set 43
%Credits: Code Master
$005C7C80 00000002
+Photo Set 44
%Credits: Code Master
$005C7C82 00000002
+Photo Set 45
%Credits: Code Master
$005C7C84 00000002
+Photo Set 46
%Credits: Code Master
$005C7C86 00000002
+Photo Set 47
%Credits: Code Master
$005C7C88 00000002
+Photo Set 48
%Credits: Code Master
$005C7C8A 00000002
+Photo Set 49
%Credits: Code Master
$005C7C8C 00000002
+Photo Set 50
%Credits: Code Master
$005C7C8E 00000002
+Photo Set 51
%Credits: Code Master
$005C7C90 00000002
+Photo Set 52
%Credits: Code Master
$005C7C92 00000002
+Photo Set 53
%Credits: Code Master
$005C7C94 00000002
+Photo Set 54
%Credits: Code Master
$005C7C96 00000002
+Photo Set 55
%Credits: Code Master
$005C7C98 00000002
+Photo Set 56
%Credits: Code Master
$005C7C9A 00000002
+Photo Set 57
%Credits: Code Master
$005C7C9C 00000002
+Photo Set 58
%Credits: Code Master
$005C7C9E 00000002
+Photo Set 59
%Credits: Code Master
$005C7CA0 00000002
+Photo Set 60
%Credits: Code Master
$005C7CA2 00000002
+Photo Set 61
%Credits: Code Master
$005C7CA4 00000002
+Photo Set 62
%Credits: Code Master
$005C7CA6 00000002
+Photo Set 63
%Credits: Code Master
$005C7CA8 00000002
+Photo Set 64
%Credits: Code Master
$005C7CAA 00000002
+Photo Set 65
%Credits: Code Master
$005C7CAC 00000002
+Photo Set 66
%Credits: Code Master
$005C7CAE 00000002
+Photo Set 67
%Credits: Code Master
$005C7CB0 00000002
+Photo Set 68
%Credits: Code Master
$005C7CB2 00000002
+Photo Set 69
%Credits: Code Master
$005C7CB4 00000002
+Photo Set 70
%Credits: Code Master
$005C7CB6 00000002
+Photo Set 71
%Credits: Code Master
$005C7CB8 00000002
+Photo Set 72
%Credits: Code Master
$005C7CBA 00000002
+Photo Set 73
%Credits: Code Master
$005C7CBC 00000002
+Photo Set 74
%Credits: Code Master
$005C7CBE 00000002
+Photo Set 75
%Credits: Code Master
$005C7CC0 00000002
+Photo Set 76
%Credits: Code Master
$005C7CC2 00000002
+Photo Set 77
%Credits: Code Master
$005C7CC4 00000002
+Photo Set 78
%Credits: Code Master
$005C7CC6 00000002
+Photo Set 79
%Credits: Code Master
$005C7CC8 00000002
+Photo Set 80
%Credits: Code Master
$005C7CCA 00000002
+Photo Set 81
%Credits: Code Master
$005C7CCC 00000002
+Photo Set 82
%Credits: Code Master
$005C7CCE 00000002
+Photo Set 83
%Credits: Code Master
$005C7CD0 00000002
+Photo Set 84
%Credits: Code Master
$005C7CD2 00000002
+Photo Set 85
%Credits: Code Master
$005C7CD4 00000002
+Photo Set 86
%Credits: Code Master
$005C7CD6 00000002
+Photo Set 87
%Credits: Code Master
$005C7CD8 00000002
+Photo Set 88
%Credits: Code Master
$005C7CDA 00000002
+Photo Set 89
%Credits: Code Master
$005C7CDC 00000002
+Photo Set 90
%Credits: Code Master
$005C7CDE 00000002
+Photo Set 91
%Credits: Code Master
$005C7CE0 00000002
+Photo Set 92
%Credits: Code Master
$005C7CE2 00000002
+Photo Set 93
%Credits: Code Master
$005C7CE4 00000002
+Photo Set 94
%Credits: Code Master
$005C7CE6 00000002
+Photo Set 95
%Credits: Code Master
$005C7CE8 00000002
+Photo Set 96
%Credits: Code Master
$005C7CEA 00000002
+Photo Set 97
%Credits: Code Master
$005C7CEC 00000002
+Photo Set 98
%Credits: Code Master
$005C7CEE 00000002
+Photo Set 99
%Credits: Code Master
$005C7CF0 00000002
+Photo Set 100
%Credits: Code Master
$005C7CF2 00000002
+Wallpaper Set 1
%Credits: Code Master
$005C7CF4 00000002
+Wallpaper Set 2
%Credits: Code Master
$005C7CF6 00000002
+Wallpaper Set 3
%Credits: Code Master
$005C7CF8 00000002
+Wallpaper Set 4
%Credits: Code Master
$005C7CFA 00000002
+Wallpaper Set 5
%Credits: Code Master
$005C7CFC 00000002
+Wallpaper Set 6
%Credits: Code Master
$005C7CFE 00000002
+Wallpaper Set 7
%Credits: Code Master
$005C7D00 00000002
+Wallpaper Set 8
%Credits: Code Master
$005C7D02 00000002
+Wallpaper Set 9
%Credits: Code Master
$005C7D04 00000002
+Wallpaper Set 10
%Credits: Code Master
$005C7D06 00000002
+Wallpaper Set 11
%Credits: Code Master
$005C7D08 00000002
+Wallpaper Set 12
%Credits: Code Master
$005C7D0A 00000002
+Wallpaper Set 13
%Credits: Code Master
$005C7D0C 00000002
+Wallpaper Set 14
%Credits: Code Master
$005C7D0E 00000002
+Wallpaper Set 15
%Credits: Code Master
$005C7D10 00000002
+Wallpaper Set 16
%Credits: Code Master
$005C7D12 00000002
+Wallpaper Set 17
%Credits: Code Master
$005C7D14 00000002
+Wallpaper Set 18
%Credits: Code Master
$005C7D16 00000002
+Wallpaper Set 19
%Credits: Code Master
$005C7D18 00000002
+Wallpaper Set 20
%Credits: Code Master
$005C7D1A 00000002
+Wallpaper Set 21
%Credits: Code Master
$005C7D1C 00000002
+Wallpaper Set 22
%Credits: Code Master
$005C7D1E 00000002
+Wallpaper Set 23
%Credits: Code Master
$005C7D20 00000002
+Wallpaper Set 24
%Credits: Code Master
$005C7D22 00000002
+Wallpaper Set 25
%Credits: Code Master
$005C7D24 00000002
!!
!!

