^2 = GameID: CUSA30305,CUSA27746,CUSA30304,CUSA30306
^3 = NAME: Demon Gaze Extra
^SECONDLAYER: YES
^4 = FILE: DemonGaze\(DGAZ_[0-9]+|DGAUTO).SAV
+Max Current Items
$40001D76 00000063
$40630020 00000000

^6 = MODS:

[/ITEM]
VALUE>NAME
0100	Rusted Sword
7701	Terra Key
7801	Fran's Necklace
7901	Dragon King Scale
7A01	God's Wing
7B01	God's Frame
7C01	God's Skill
7D01	Terra Bane
7E01	Mars Bane
7F01	Gazer Heart
8001	Jupiter Bane
8101	Astro Force
8201	Rush Attack
8301	Counter
8401	Wild Swing
8501	Rising Hit
8601	Final Guts
8701	Cyclone
8801	Divine Body
8901	Front Guard
8A01	Holy Charge
8B01	Devotion
8C01	Holy Guard
8D01	Providence
8E01	Dual-Wield
8F01	Slash 1
9001	Slash 2
9101	Carnage
9201	Slash 3
9301	Carnage EX
9401	God's Arms
9501	Magic Weapon
9601	Wizard Bolt
9701	Boost Magic
9801	Enhance Magic
9901	Fast Cast
9A01	Holy Weapon
9B01	Mana Heal 1
9C01	Convert Mana
9D01	Holy Shield
9E01	Enhance Heal
9F01	Mana Heal 2
A001	Snipe
A101	Hunte's Eye
A201	Pierce
A301	Ballista Shot
A401	True Snipe
A501	Shadow Step
A601	Parry
A701	Mirage
A801	Killer Edge
A901	Sneak Attack
AA01	Cross Fix
AB01	Shadow Assault
AC01	Item Training 1
AD01	Item Training 2
AE01	Item Training 3
AF01	Bolst Set
B001	Support Set W
B101	Blast Set
B201	Force Set W
B301	Evil Set
B401	Omega Set
B501	Cure Set
B601	Support Set H
B701	High Cure Set
B801	Force Set H
B901	Holy Set
BA01	Final Set
BB01	Gazer Sense
BC01	Gazer Brave
BD01	Nameless Gem
BE01	Sword Gem
BF01	Katana Gem
C001	Heavy Gem
C101	Spear Gem
C201	Special Gem
C301	Staff Gem
C401	Bow Gem
C501	Shield Gem
C601	Hat Gem
C701	Helm Gem
C801	Light-Armor Gem
C901	Heavy-Armor Gem
CA01	Undies Gem
CB01	Accessory Gem
CC01	Artifact Gem
CD01	Bronze Gem
CE01	Silver Gem
CF01	Gold Gem
D001	Increase 1 Gem
D101	Increase 2 Gem
D201	Strengthen Gem
D301	Brave Warrior
D401	Grounded Sword
D501	Old Dynasty Battle
D601	Light and Darkness
D701	Ruthless Angel
D801	Evil King Ohma
D901	Dragon Princess
DA01	Dragon King
DB01	Obless
DC01	Century Shelf
DD01	Millennium Shelf
DE01	Treant Shelf
DF01	Arlen Shelf
E001	Dryad Shelf
E101	Elven Shelf
E201	Billennium Shelf
E301	Fairy King Shelf
E401	Word Tree Shelf
E501	Small Manta Statue
E601	Big Manta Statue
E701	Water Demon Statue
E801	Moon Demon Statue
E901	Light Demon Statue
EA01	Fran Figure
EB01	Prometh Figure
EC01	Gold Dragon Statue
ED01	Phoenix Statue
EE01	Fluffy Bed
EF01	Noble Bed
F001	Grom Castle Bed
F101	Elven Bed
F201	Fairy Bed
F301	Pinay Pillow
F401	Lorna Pillow
F501	Prometh Pillow
F601	Fran Pillow
F701	Duvet
F801	Duck Duvet
F901	Raven Duvet
FA01	Harpy Duvet
FB01	Cockatrice Duvet
FC01	Grom Castle Duvet
FD01	High Raven Duvet
FE01	Roc Duvet
FF01	Phoenix Duvet
0002	Ugly Cat
0102	Alda Cat
0202	Tri-Color Cat
0302	Witch's Cat
0402	Fairy Cat
0502	Lost War Cat
0602	Lost War Tiger
0702	Grimodar Cat
0802	God Cat
0902	Pot of Happiness
0A02	Pot of Yelling
0B02	Pot of Singing
0C02	Blue Fire Lamp
0D02	Pink Lamp
0E02	Phoenix Lamp
0F02	Busty Mannequin
1002	Kumite Mannequin
1102	Stuffed Succubus
1202	Vase of Happiness
1302	Holy Water Vase
1402	God Liquor Barrel
1502	Rabbit Carpet
1602	Wolf Carpet
1702	Pixy Carpet
1802	Sylph Curtains
1902	Fran's Curtains
1A02	Fairy God Curtains
1B02	Magic Chalk
1C02	Gun Powder
1D02	Rainbow Vial
1E02	Fire Vial
1F02	Wind Vial
2002	Ice Vial
2102	Earth Vial
2202	Demon Vial
2302	Script of the Dead
2402	Holy Vial
2502	Fire Bottle
2602	Wind Bottle
2702	Ice Bottle
2802	Earth Bottle
2902	Demon Bottle
2A02	Script of Judgement
2B02	Holy Bottle
2C02	Super Gun Powder
2D02	Rainbow Bottle
2E02	Salve
2F02	Antidote
3002	Fairy Balm
3102	Paralysis Balm
3202	High Salve
3302	Cure-All
3402	Fairy Balm
3502	Full Healer
3602	Elixir
3702	Phoenix Wing
3802	Phoenix Tear
3902	Smoke Ball
3A02	Magic Water
3B02	Demon Vase
3C02	Angel Mirror
3D02	God Mirror
3E02	God Hand
3F02	Mirror of Return
4002	Door of Travel
4102	Fake Doll
4202	Poinee Doll
4302	Demon Doll
4402	Jerky
4502	Small Meat
4602	Meat
4702	Big Meat
4802	Marbled Meat
4902	Chicken Skewer
4A02	Chicken Leg
4B02	Chicken Steak
4C02	Whole Chicken
4D02	Dar Foie Gras
4E02	Small Fish
4F02	Smoked Fish
5002	Skewered Fish
5102	Sashimi Fish
5202	Dar Caviar
5302	Edible Grass
5402	Root Veggies
5502	Fresh Veggies
5602	Sweet Roots
5702	Dar Truffles
5802	Cheap Bread
5902	Soldier Bread
5A02	Misrid Bread
5B02	Orange
5C02	Apple
5D02	Grapes
5E02	Beer
5F02	Whiskey
6002	Wine
6102	God Liquor
6202	Milk
6302	Cheese
6402	Aged Cheese
6502	Honey
6602	Cookie
6702	Chocolate
6802	Assorted Donuts
6902	Magic Vanilla
6A02	Magic Basil
6B02	Magic Pepper
6C02	Magic Herb
6D02	Cat Powder
6E02	Star Tree Seed
6F02	Star Tree Leaf
7002	Star Tree Fruit
7102	Dragon Pot Pie
7202	Red 1 Loot Map
7302	Red 2 Loot Map
7402	Red 3 Loot Map
7502	Red 4 Loot Map
7602	Red 5 Loot Map
7702	Red 6 Loot Map
7802	Red 7 Loot Map
7902	Red 8 Loot Map
7A02	Red 9 Loot Map
7B02	Blue 1 Loot Map
7C02	Blue 2 Loot Map
7D02	Blue 3 Loot Map
7E02	Blue 4 Loot Map
7F02	Blue 5 Loot Map
8002	Blue 6 Loot Map
8102	Blue 7 Loot Map
8202	Blue 8 Loot Map
8302	Blue 9 Loot Map
8402	Green 1 Loot Map
8502	Green 2 Loot Map
8602	Green 3 Loot Map
8702	Green 4 Loot Map
8802	Green 5 Loot Map
8902	Green 6 Loot Map
8A02	Green 7 Loot Map
8B02	Green 8 Loot Map
8C02	Green 9 Loot Map
8D02	Yellow 1 Loot Map
8E02	Yellow 2 Loot Map
8F02	Yellow 3 Loot Map
9002	Yellow 4 Loot Map
9102	Yellow 5 Loot Map
9202	Yellow 6 Loot Map
9302	Yellow 7 Loot Map
9402	Yellow 8 Loot Map
9502	Yellow 9 Loot Map
9602	Brown 1 Loot Map
9702	Brown 2 Loot Map
9802	Brown 3 Loot Map
9902	Brown 4 Loot Map
9A02	Brown 5 Loot Map
9B02	Brown 6 Loot Map
9C02	Brown 7 Loot Map
9D02	Brown 8 Loot Map
9E02	Brown 9 Loot Map
9F02	Purple 1 Loot Map
A002	Purple 2 Loot Map
A102	Purple 3 Loot Map
A202	Purple 4 Loot Map
A302	Purple 5 Loot Map
A402	Purple 6 Loot Map
A502	Purple 7 Loot Map
A602	Purple 8 Loot Map
A702	Purple 9 Loot Map
A802	Gray 1 Loot Map
A902	Gray 2 Loot Map
AA02	Gray 3 Loot Map
AB02	Gray 4 Loot Map
AC02	Gray 5 Loot Map
AD02	Gray 6 Loot Map
AE02	Gray 7 Loot Map
AF02	Gray 8 Loot Map
B002	Gray 9 Loot Map
B102	White 1 Loot Map
B202	White 2 Loot Map
B302	White 3 Loot Map
B402	White 4 Loot Map
B502	White 5 Loot Map
B602	White 6 Loot Map
B702	White 7 Loot Map
B802	White 8 Loot Map
B902	White 9 Loot Map
BA02	Black 1 Loot Map
BB02	Black 2 Loot Map
BC02	Black 3 Loot Map
BD02	Black 4 Loot Map
BE02	Black 5 Loot Map
BF02	Black 6 Loot Map
C002	Black 7 Loot Map
C102	Black 8 Loot Map
C202	Black 9 Loot Map
C302	Silver 1 Loot Map
C402	Silver 2 Loot Map
C502	Silver 3 Loot Map
C602	Silver 4 Loot Map
C702	Silver 5 Loot Map
C802	Silver 6 Loot Map
C902	Silver 7 Loot Map
CA02	Silver 8 Loot Map
CB02	Silver 9 Loot Map
CC02	Gold 1 Loot Map
CD02	Gold 2 Loot Map
CE02	Gold 3 Loot Map
CF02	Gold 4 Loot Map
D002	Gold 5 Loot Map
D102	Gold 6 Loot Map
D202	Gold 7 Loot Map
D302	Gold 8 Loot Map
D402	Gold 9 Loot Map
D502	Rainbow Loot Map
D602	Mythryl Ball
D702	Junk
D802	Big Jewel
D902	Small Jewel
DA02	Rough Jewel
DB02	Gold Bar
DC02	GOld Piece
DD02	Silver Bar
DE02	Silver Piece
DF02	Copper Bar
E002	Copper Piece
E102	Steel Bar
E202	Steel Piece
E302	God Gold Coin
E402	God Silver Coin
E502	God Copper Coin
E602	Holy Gold Coin
E702	Holy Silver Coin
E802	Holy Copper Coin
E902	Scaly Skin
EA02	Comfy Fur
EB02	Soft Skin
EC02	Pretty Wings
ED02	Fluffy Feather
EE02	Soft Whisker
EF02	Shiny Husk
F002	Transparent Shell
F102	Rare Claw
F202	Grand Claw
F302	Elastic Bone
F402	Pale Bone
F502	Beautiful Hair
F602	Fresh Intestine
F702	Luxurious Horn
F802	Scalier Skin
F902	Comfier Fur
FA02	Softer Skin
FB02	Prettier Wings
FC02	Fluffier Feather
FD02	Softer Whisker
FE02	Shinier Husk
FF02	Transparenter Shell
0003	Rarer Claw
0103	Grander Claw
0203	Elastier Bone
0303	Bigger Pale Bone
0403	Long Beautiful Hair
0503	Magic Intestine
0603	Big Luxurious Horn
0703	Soul Skull
0803	Obsidian Mushroom
0903	Magic Telephone
0A03	Super Weed-Killer
0B03	Crumby Charm
0C03	Veil of Breath
0D03	Mythryl Light Stone
0E03	Dungeon Key
0F03	Heath's IOU
1003	Spirit God's Letter
1103	Elevator Lever
1203	Magicure
1303	Golden Hourglass
1403	Wedding Gift
1503	Wedding Invite
1603	Clover Key
1703	4-Leaf Clover Key
1803	Emerald Bead
1903	Topaz Bead
1A03	Aquamarine Bead
1B03	Amethyst Bead
1C03	Diamond Bead
1D03	Combat Tome
1E03	Spider Tome
1F03	Acrobatics Tome
2003	Repaired Dolls
2103	Broken Dolls	
0000	None
[/ITEM]
